,Name,Explanation,backbone,batch_size,dataset,epochs,frozen_feature_extractor,lr,start_time,test_accuracy,test_average_precision,reduced,test_balanced_accuracy,record,softmax,execution_time,augment_prob,cosine,pretrained,accuracy,best_iteration,feature_extractor,model,n_iterations,n_shot,n_way,optimizer,task,augment,base_classes,eval_period,train_n_way,checkpoint_dir,comment,full_name,output_dir,screen_name,session_dir,test_ts_steps,train_ts_steps,all_global_prototypes,image_size,balanced_batches,val_batch_size,dataset_classes
181,GoogLeNet_GTSRB_605720-13-18-12-10-11-2019,,GoogLeNet,32.0,GTSRB,45.0,1.0,0.001,Sun Nov 10 12:18:13 2019,0.4770569620253165,,0.9,0.4134167259340665,1.0,0.0,1940.7037196159365,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,ResNet18_GTSRB_382531-48-50-12-10-11-2019,,ResNet18,32.0,GTSRB,45.0,0.0,0.001,Sun Nov 10 12:50:48 2019,0.9432753164556962,,0.9,0.9336227783536608,1.0,0.0,2555.127831459045,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,GoogLeNet_GTSRB_644248-36-33-13-10-11-2019,,GoogLeNet,32.0,GTSRB,45.0,0.0,0.001,Sun Nov 10 13:33:36 2019,0.8205480437284234,,0.9,0.7686553767576251,1.0,0.0,3081.507177114487,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,ResNet18_GTSRB_827512-12-25-14-10-11-2019,,ResNet18,32.0,GTSRB,60.0,1.0,0.001,Sun Nov 10 14:25:12 2019,0.4790348101265823,,0.95,0.4233410339988722,1.0,0.0,1736.1076188087466,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,GoogLeNet_GTSRB_045024-22-54-14-10-11-2019,,GoogLeNet,32.0,GTSRB,60.0,1.0,0.001,Sun Nov 10 14:54:22 2019,0.424129746835443,,0.95,0.3597357465188189,1.0,0.0,1951.561370372772,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,ResNet18_GTSRB_836043-06-27-15-10-11-2019,,ResNet18,32.0,GTSRB,60.0,0.0,0.001,Sun Nov 10 15:27:06 2019,0.8850618527042577,,0.95,0.8592403704783987,1.0,0.0,2294.592043638229,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,GoogLeNet_GTSRB_049727-34-05-16-10-11-2019,,GoogLeNet,32.0,GTSRB,60.0,0.0,0.001,Sun Nov 10 16:05:34 2019,0.7291283084004603,,0.95,0.6636756288100318,1.0,0.0,2657.180846452713,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,ResNet18_GTSRB_340634-05-50-16-10-11-2019,,ResNet18,32.0,GTSRB,75.0,1.0,0.001,Sun Nov 10 16:50:05 2019,0.4347166283084005,,50.0,0.43839750217656587,1.0,0.0,1983.9271461963654,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,GoogLeNet_GTSRB_772901-23-23-17-10-11-2019,,GoogLeNet,32.0,GTSRB,75.0,1.0,0.001,Sun Nov 10 17:23:23 2019,0.41398158803222096,,50.0,0.41892825318561056,1.0,0.0,2245.291074514389,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,ResNet18_GTSRB_491403-03-01-18-10-11-2019,,ResNet18,32.0,GTSRB,75.0,0.0,0.001,Sun Nov 10 18:01:03 2019,0.920490506329114,,50.0,0.9197308459813344,1.0,0.0,2774.664131164551,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,GoogLeNet_GTSRB_355331-30-47-18-10-11-2019,,GoogLeNet,32.0,GTSRB,75.0,0.0,0.001,Sun Nov 10 18:47:30 2019,0.8076093210586881,,50.0,0.8066850138183499,1.0,0.0,3250.05242061615,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
